Date : 2025-08-28 00:51:56
Directory : /home/mario/Desktop/Masterarbeit/OptiXApp/src
Total : 91 files,  10002 codes, 1501 comments, 1933 blanks, all 13436 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/shader/prepass.vert                | GLSL     |         12 |          0 |          4 |         16 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/shader/screenquad.frag             | GLSL     |          8 |          0 |          7 |         15 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/shader/screenquad.vert             | GLSL     |          7 |          0 |          3 |         10 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/shader/ssao.frag                   | GLSL     |         62 |          0 |         20 |         82 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/shader/ssao.vert                   | GLSL     |          7 |          0 |          3 |         10 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/shader/ssao_blur.frag              | GLSL     |         21 |          0 |         13 |         34 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/shader/ssao_blur.vert              | GLSL     |          7 |          0 |          3 |         10 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/ssao.cpp                           | C++      |         66 |          0 |         22 |         88 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/ssao.hpp                           | C++      |         23 |          0 |          8 |         31 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/window.cpp                         | C++      |        188 |          0 |         39 |        227 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/window.hpp                         | C++      |         50 |          0 |         13 |         63 |
| Total                                                                                   |          |     10,002 |      1,501 |      1,933 |     13,436 |
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
